IBP_NOSSH_Ice-binding_protein_Nostoc_sp. A0A7D5JNZ7.fasta
A0A8T9C525_9HELO_Ice-binding_protein_Lachnellula_suecica A0A8T9C525.fasta
A0A8T9CGU7_9HELO_Ice-binding_protein_Lachnellula_suecica A0A8T9CGU7.fasta
A0A9J5XLH4_SOLCO_Ice_binding_protein_Solanum_commersonii A0A9J5XLH4.fasta
ISP2_BRASG_Type-2_ice-structuring_protein_Brachyopsis_segaliensis A0ZT93.fasta
IBP_COLSX_Ice-binding_protein_Colwellia_sp A5XB26.fasta
IBP_FLAPO_Ice-binding_protein_Flammulina_populicola B8XC03.fasta
IBP_LENED_Ice-binding_protein_Lentinula_edodes B8XC04.fasta
IBP_LEUSY_Ice-binding_protein_Leucosporidium_sp. C7F6X3.fasta
IBP_FLAFP_Ice-binding_protein_Flavobacterium_frigoris H7FWB6.fasta
ANPY1_TENMO_Thermal_hysteresis_protein_YL-1_Tenebrio_molitor O16119.fasta
ICEK_PSESX_Ice_nucleation_protein_Pseudomonas_syringae O30611.fasta
ICEV_PSESX_Ice_nucleation_protein_Pseudomonas_syringae O33479.fasta
ANPA_PSEAM_Ice-structuring_protein_A_Pseudopleuronectes_americanus P04002.fasta
ISP2_HEMAM_Type-2_ice-structuring_protein_Hemitripterus_americanus P05140.fasta
ANP1C_ZOAAM_Ice-structuring_protein_SP1-C_Zoarces_americanus P07457.fasta
ANPX_PSEAM_Ice-structuring_protein_2A7_Pseudopleuronectes_americanus P07835.fasta
ANP_MYZFE_Ice-structuring_protein_Myzopsetta_ferruginea P09031.fasta
ICEN_PSEFL_Ice_nucleation_protein_Pseudomonas_fluorescens P09815.fasta
ANP1_PACBR_Ice-structuring_protein_AB1_Pachycara_brachycephalum P12100.fasta
ANP2_PACBR_Ice-structuring_protein_AB2_Pachycara_brachycephalum P12101.fasta
ANP2_LYCDA_Ice-structuring_protein_RD2_Lycodichthys_dearborni P12102.fasta
ANP1_ANALU_Type-3_ice-structuring_protein_1.9_Anarhichas_lupus P12416.fasta
ANP2_ANALU_Type-3_ice-structuring_protein_1.5_Anarhichas_lupus P12417.fasta
ICEN_ENTAG_Ice_nucleation_protein_Enterobacter_agglomerans P16239.fasta
ICEN_XANCT_Ice_nucleation_protein_Xanthomonas_campestris P18127.fasta
ANPD_ZOAAM_Ice-structuring_protein_C7_Zoarces_americanus P19604.fasta
ANPE_ZOAAM_Ice-structuring_protein_C10_Zoarces_americanus P19605.fasta
ANP3_ZOAAM_Ice-structuring_protein_lambda_OP-3_Zoarces_americanus P19606.fasta
ANP5_ZOAAM_Ice-structuring_protein_lambda_OP-5_Zoarces_americanus P19607.fasta
ANP1_ZOAAM_Ice-structuring_protein_SP2(HPLC_1)_Zoarces_americanus P19608.fasta
ANP4_ZOAAM_Ice-structuring_protein_SP1(HPLC_4)_Zoarces_americanus P19609.fasta
ANP7_ZOAAM_Ice-structuring_protein_SP4(HPLC_7)_Zoarces_americanus P19611.fasta
ANP9_ZOAAM_Ice-structuring_protein_SP3(HPLC_9)_Zoarces_americanus P19612.fasta
ANP11_ZOAAM_Ice-structuring_protein_SP2(HPLC_11)_Zoarces_americanus P19613.fasta
ANP12_ZOAAM_Type-3_ice-structuring_protein_HPLC_12_Zoarces_americanus P19614.fasta
ICEA_PANAN_Ice_nucleation_protein_InaA_Pantoea_ananas P20469.fasta
ANPY_PSEAM_Ice-structuring_protein_Pseudopleuronectes_americanus P23699.fasta
ANP1_LYCPO_Ice-structuring_protein_LP_Lycodes_polaris P24028.fasta
ANP_NOTNE_Ice-structuring_glycoprotein_(Fragment)_Notothenia_neglecta P24856.fasta
ANP1_LYCDA_Ice-structuring_protein_RD1_Lycodichthys_dearborni P35751.fasta
ANP3_LYCDA_Ice-structuring_protein_RD3_Lycodichthys_dearborni P35753.fasta
AFP4_MYOOC_Type-4_ice-structuring_protein_LS-12_Myoxocephalus_octodecemspinosus P80961.fasta
ISP2_OSMMO_Type-2_ice-structuring_protein_Osmerus_mordax Q01758.fasta
IBP1_SHEFN_Ice-binding_protein_1_Shewanella_frigidimarina Q086E4.fasta
ICEN_PANAN_Ice_nucleation_protein_InaU_Pantoea_ananas Q47879.fasta
AFP4_GADMO_Type-4_ice-structuring_protein_Gadus_morhua Q56TU0.fasta
IBPKB_TYPIS_Ice-binding_protein_K3-B1_Typhula_ishikariensis Q76CE6.fasta
IBPKA_TYPIS_Ice-binding_protein_K1-A_Typhula_ishikariensis Q76CE8.fasta
AFP4_PAROL_Type-4_ice-structuring_protein_Paralichthys_olivaceus Q8JI37.fasta
ANPB_PSEAM_Ice-structuring_protein_B_Pseudopleuronectes_americanus Q99013.fasta
